1.000000-5  0.000000+0 0.000000+0                                            
 1.560000+6  2.476800-1 9.746600-2-1.798300-2 0.000000+0                      
 1.565000+6  2.340600-1 7.883300-2 1.051600-3 0.000000+0                      
 1.568000+6  2.280800-1 1.017900-1-1.558300-2 0.000000+0                      
 1.575000+6  2.530000-1 8.561500-2-1.786300-2 0.000000+0                      
 1.578000+6  2.594800-1 7.539300-2 6.870200-4 0.000000+0                      
 1.583000+6  2.879800-1 9.554600-2-1.621300-2 0.000000+0                      
 1.588000+6  3.542800-1 9.654100-2-3.733500-3 0.000000+0                      
 1.589000+6  3.544600-1 1.056700-1-8.807900-3 0.000000+0                      
 1.590000+6  3.839800-1 1.206000-1 1.893700-2 0.000000+0                      
 1.592000+6  3.951200-1 1.397600-1 3.935000-2 0.000000+0                      
 1.595000+6  3.974600-1 1.402500-1 1.839200-2 0.000000+0                      
 1.601000+6  4.395400-1 1.769900-1 4.208400-2 0.000000+0                      
 1.603000+6  4.556500-1 2.150100-1 4.303700-2 0.000000+0                      
 1.608000+6  4.833200-1 2.159200-1 5.026800-2 0.000000+0                      
 1.613000+6  4.649400-1 1.932600-1 2.814500-2 0.000000+0                      
 1.616000+6  4.611700-1 1.890900-1 4.260000-2 0.000000+0                      
 1.620000+6  4.288700-1 1.688300-1 3.813300-2 0.000000+0                      
 1.630000+6  4.080200-1 1.576300-1 3.531200-2 0.000000+0                      
 1.633000+6  4.177200-1 1.678700-1 6.059700-2 0.000000+0                      
 1.637000+6  4.092900-1 1.655000-1 4.411400-2 0.000000+0                      
 1.639000+6  4.069000-1 1.625100-1 5.512100-2 0.000000+0                      
 1.641000+6  3.612400-1 1.409500-1 3.041100-2 0.000000+0                      
 1.645000+6  3.682100-1 1.224400-1 2.756900-2 0.000000+0                      
 1.646000+6  3.872400-1 1.274400-1 4.404600-2 0.000000+0                      
 1.656000+6  3.979700-1 1.577200-1 1.197400-2 0.000000+0                      
 1.660000+6  3.751800-1 1.386100-1 1.394600-2 0.000000+0                      
 1.661000+6  3.913300-1 1.350500-1 5.093400-2 0.000000+0                      
 1.662000+6  3.357000-1 1.246100-1 7.637500-3 0.000000+0                      
 1.667000+6  3.616200-1 1.424900-1 2.269900-2 0.000000+0                      
 1.669000+6  3.778800-1 1.431200-1 5.337600-2 0.000000+0                      
 1.672000+6  3.292100-1 9.766000-2 1.708000-2 0.000000+0                      
 1.673000+6  3.700300-1 9.396300-2 3.645000-2 0.000000+0                      
 1.674000+6  3.445300-1 1.137800-1 2.449400-4 0.000000+0                      
 1.676000+6  3.637700-1 1.274700-1 3.858300-2 0.000000+0                      
 1.677000+6  3.441100-1 1.317100-1 2.943800-3 0.000000+0                      
 1.679000+6  3.389600-1 1.287200-1 3.586200-2 0.000000+0                      
 1.681000+6  3.347300-1 1.190500-1-3.341800-3 0.000000+0                      
 1.688000+6  3.014300-1 1.054900-1 1.680400-4 0.000000+0                      
